en,ru,de,es,fr
institutional,институциональный,institutionelle,institucional,institutionnel
instruction,инструкция,anweisung,instrucción,instruction
instructor,инструктор,lehrer,instructor,instructeur
instrument,инструмент,instrument,instrumento,instrument
insurance,страхование,versicherung,seguro,assurance
intellectual,интеллектуальный,intellektuell,intelectual,intellectuel
intelligence,интеллект,intelligenz,inteligencia,intelligence
intend,намереваться,wollen,intentar,intention
intense,интенсивный,intensiv,intenso,intense
intensity,интенсивность,intensität,intensidad,intensité
intention,намерение,absicht,intención,intention
interaction,взаимодействие,interaktion,interacción,interaction
interest,интерес,interessieren,interesar,intérêt
interested,заинтересованы,interessiert,interesado,intéressé
interesting,интересно,interessant,interesante,intéressant
internal,внутренний,intern,interno,interne
international,международный,international,internacional,international
internet,интернет,internet,internet,l'internet
interpret,интерпретировать,interpretieren,interpretar,interpréter
interpretation,интерпретация,deutung,interpretación,interprétation
intervention,вмешательство,intervention,intervención,intervention
interview,интервью,interview,entrevista,entretien
into,в,in,dentro,dans
introduce,вводить,vorstellen,introducir,présenter
introduction,введение,einführung,introducción,introduction
invasion,вторжение,invasion,invasión,invasion
invest,вкладывать деньги,investieren,invertir,investir
investigate,исследовать,untersuchen,investigar,enquêter
investigation,расследование,untersuchung,investigación,enquête
investigator,исследователь,ermittler,investigador,enquêteur
investment,инвестиции,investition,inversión,investissement
investor,инвестор,investor,inversor,investisseur
invite,пригласить,einladen,invitación,inviter
involve,включать,involve,involucrar,impliquer
involved,участвует,beteiligt,involucrado,impliqué
involvement,участие,beteiligung,enredo,participation
iraqi,иракский,irakisch,iraquí,irakien
irish,ирландский,irisch,irlandesa,irlandais
iron,железо,eisen,hierro,le fer
islamic,исламский,islamisch,islámico,islamique
island,остров,insel,isla,île
israeli,израильская,israelisch,israelí,israélien
issue,проблема,problem,problema,problème
it,это,es,eso,il
italian,итальянская,italienisch,italiano,italien
item,пункт,artikel,ít,article
its,его,seine,sus,ses
itself,сам,selbst,sí mismo,lui-même
jacket,куртка,jacke,chaqueta,veste
jail,тюрьма,gefängnis,cárcel,prison
japanese,японский,japanisch,japonés,japonais
jet,струя,jet,chorro,jet
jew,еврей,jude,judío,juif
jewish,еврейская,jüdisch,judío,juif
job,работа,job,trabajo,emploi
join,присоединиться,beitreten,unirse,joindre
joint,совместное,joint,articulación,mixte
joke,шутка,witz,broma,blague
journal,журнал,tagebuch,diario,journal
journalist,журналист,journalist,periodista,journaliste
journey,поездка,reise,viaje,périple
joy,радость,freude,alegría,joie
judge,судья,richter,juez,juge
judgment,суждение,beurteilung,juicio,jugement
juice,сок,saft,jugo,jus
jump,прыгать,springen,saltar,saut
junior,младший,junior,júnior,junior
jury,жюри,jury,jurado,jury
just,просто,gerade,sólo,juste
justice,справедливость,gerechtigkeit,justicia,justice
justify,оправдать,rechtfertigen,justificar,justifier
keep,держать,behalten,guardar,garder
key,ключ,schlüssel,llave,clé
kick,удар,kick,patada,donner un coup
kid,дитя,kind,niño,enfant
kill,убийство,töten,matar,tuer
killer,киллер,mörder,asesino,tueur
killing,убийство,tötung,asesinato,meurtre
kind,своего рода,art,tipo,gentil
king,король,könig,rey,roi
kiss,поцелуй,kuss,beso,baiser
kitchen,кухня,küche,cocina,cuisine
knee,колено,knie,rodilla,le genou
knife,нож,messer,cuchillo,couteau
knock,стучать,klopfen,golpe,frappe
know,знать,kennt,saber,connaître
knowledge,знание,wissen,conocimiento,connaissance
lab,лаборатория,labor,laboratorio,laboratoire
label,метка,etikette,etiqueta,étiquette
labor,труд,arbeit,trabajo,la main d'oeuvre
laboratory,лаборатория,labor,laboratorio,laboratoire
lack,отсутствие,mangel,ausencia,manquer de
lady,леди,dame,dama,dame
lake,озеро,see,lago,lac
land,земельные участки,land,tierra,terre
landscape,пейзаж,landschaft,paisaje,paysage
language,язык,sprache,idioma,la langue
lap,круг,runde,regazo,tour
large,большой,groß,grande,grand
largely,во многом,weitgehend,en gran parte,en grande partie
last,последний,letzte,último,dernier
late,поздно,spät,tarde,en retard
later,позже,später,luego,plus tard
latin,латинский,lateinisch,latín,latin
latter,последний,letztere,último,dernier
laugh,смех,lachen,risa,rire
launch,запуск,einführung,lanzamiento,lancement
law,закон,recht,ley,loi
lawn,газон,rasen,césped,pelouse
lawsuit,иск,klage,demanda judicial,procès
lawyer,адвокат,anwalt,abogado,avocat
lay,лежал,legen,laico,allonger
layer,слой,schicht,capa,couche
lead,вести,führen,dirigir,conduire
leader,лидер,führer,líder,chef
leadership,руководство,führung,liderazgo,direction
leading,ведущий,führend,líder,de premier plan
leaf,лист,blatt,hoja,feuille
league,лига,liga,liga,ligue
lean,опираться,lehnen,apoyarse,maigre
learn,учить,lernen,aprender,apprendre
learning,обучение,lernen,aprendizaje,apprentissage
least,наименее,am wenigsten,menos,moins
leather,кожа,leder,cuero,cuir
leave,оставлять,verlassen,salir,laisser
left,оставил,links,izquierda,la gauche
leg,нога,bein,pierna,jambe
legacy,наследие,erbe,legado,héritage
legal,легальные,legal,legal,légal
legend,легенда,legende,leyenda,légende
legislation,законодательство,gesetzgebung,legislación,législation
legitimate,законный,legitim,legítimo,légitime
lemon,лимон,zitrone,limón,citron
length,длина,länge,longitud,longueur
less,меньше,weniger,menos,moins
lesson,урок,lektion,lección,leçon
let,позволять,lassen,dejar,laisser
letter,письмо,brief,carta,lettre
level,уровень,ebene,nivel,niveau
liberal,либеральный,liberale,liberal,libéral
library,библиотека,bibliothek,biblioteca,bibliothèque
license,лицензия,lizenz,licencia,licence
lie,ложь,lüge,mentira,mensonge
life,жизнь,leben,vida,la vie
lifestyle,стиль жизни,lebensstil,estilo de vida,mode de vie
lifetime,продолжительность жизни,lebenszeit,toda la vida,durée de vie
lift,лифт,aufzug,ascensor,ascenseur
light,легкий,licht,ligero,lumière
like,любить,mögen,me gusta,comme
likely,вероятно,wahrscheinlich,probable,probable
limit,предел,grenze,límite,limite
limitation,ограничение,einschränkung,limitación,limitation
limited,ограниченное,begrenzt,limitado,limité
line,линия,linie,línea,ligne
link,ссылка,verknüpfung,enlazar,lien
lip,губа,lippe,labio,lèvre
list,список,liste,lista,liste
listen,слушать,hör mal zu,escucha,écoute
literally,буквально,buchstäblich,literalmente,littéralement
literary,литературный,literarisch,literario,littéraire
literature,литература,literatur,literatura,littérature
little,немного,wenig,pequeño,peu
live,жить,leben,vivir,vivre
living,живой,leben,vivo,vivant
load,нагрузка,belastung,carga,charge
loan,кредит,darlehen,préstamo,prêt
local,местный,lokal,local,local
locate,найти,lokalisieren,localizar,localiser
location,место нахождения,lage,ubicación,emplacement
lock,замок,sperren,bloquear,fermer à clé
long,длинный,lange,largo,longue
long-term,долгосрочный,langfristig,a largo plazo,long terme
look,смотреть,schau,mira,regardez
loose,свободные,lose,suelto,en vrac
lose,потерять,verlieren,perder,perdre
loss,потеря,verlust,pérdida,perte
lost,потерял,hat verloren,perdió,perdu
lot,много,los,mucho,lot
lots,много,viele,un montón,beaucoup
loud,громкий,laut,ruidoso,bruyant
love,люблю,liebe,amor,amour
lovely,прекрасный,schön,encantador,charmant
lover,любовник,liebhaber,amante,amoureux
low,низкий,niedrig,bajo,faible
lower,нижний,niedriger,inferior,inférieur
luck,удачи,glück,suerte,la chance
lucky,везучий,glücklich,suerte,chanceux
lunch,обед,mittagessen,almuerzo,le déjeuner
lung,легкий,lunge,pulmón,poumon
machine,машина,maschine,máquina,machine
mad,сумасшедший,wütend,enojado,furieux
magazine,журнал,zeitschrift,revista,magazine
mail,почта,mail,correo,courrier
main,главный,main,principal,principale
mainly,в основном,hauptsächlich,principalmente,principalement
maintain,поддерживать,pflegen,mantener,maintenir
maintenance,поддержание,instandhaltung,mantenimiento,entretien
major,главный,haupt,mayor,majeur
majority,большинство,mehrheit,mayoria,majorité
make,делать,machen,hacer,faire
maker,производитель,hersteller,fabricante,fabricant
makeup,составить,bilden,maquillaje,maquillage
male,мужской,männlich,masculino,mâle
mall,торговый центр,einkaufszentrum,centro comercial,centre commercial
man,человек,mann,hombre,homme
manage,управлять,verwalten,gestionar,gérer
management,управление,management,administración,la gestion
manager,менеджер,manager,gerente,directeur
manner,манера,weise,manera,manière
manufacturer,производитель,hersteller,fabricante,fabricant
manufacturing,производство,herstellung,fabricación,fabrication
many,многие,viele,muchos,beaucoup
map,карта,karte,mapa,carte
margin,поле,marge,margen,marge
mark,отметка,kennzeichen,marca,marque
market,рынок,markt,mercado,marché
marketing,маркетинг,marketing,márketing,commercialisation
marriage,женитьба,ehe,matrimonio,mariage
married,в браке,verheiratet,casado,marié
marry,выйти замуж,heiraten,casar,marier
mask,маска,maske,máscara,masque
mass,масса,masse,masa,masse
massive,массивный,massiv,masivo,massif
master,мастер,meister,dominar,maîtriser
match,совпадение,spiel,partido,rencontre
material,материал,material,material,matériel
math,математика,mathe,mates,math
matter,дело,angelegenheit,importar,matière
may,май,kann,mayo,mai
maybe,может быть,könnte sein,tal vez,peut être
mayor,мэр,bürgermeister,alcalde,maire
me,меня,mich,yo,moi
meal,еда,mahlzeit,comida,repas
mean,имею в виду,bedeuten,media,signifier
meaning,имея в виду,bedeutung,sentido,sens
meanwhile,то время,inzwischen,mientras tanto,pendant ce temps
measure,измерить,messen,medida,mesure
measurement,измерение,messung,medición,la mesure
meat,мясо,fleisch,carne,moi à
mechanism,механизм,mechanismus,mecanismo,mécanisme
media,сми,medien,medios de comunicación,médias
medical,медицинский,medizinisch,médico,médical
medication,лечение,medikation,medicación,des médicaments
medicine,лекарственное средство,medizin,medicina,médicament
medium,средний,mittel,medio,moyen
meet,встретить,treffen,reunirse,rencontrer
meeting,встреча,treffen,reunión,réunion
member,член,mitglied,miembro,membre
membership,членство,mitgliedschaft,afiliación,adhésion
memory,память,erinnerung,memoria,mémoire
mental,психического,geistig,mental,mental
mention,отметить,erwähnen,mencionar,mention
menu,меню,menü,menú,menu
mere,всего лишь,bloß,mero,simple
merely,просто,nur,simplemente,seulement
mess,беспорядок,chaos,lío,désordre
message,сообщение,nachricht,mensaje,message
metal,металл,metall,metal,métal
meter,метр,meter,metro,mètre
method,метод,methode,método,méthode
mexican,мексиканский,mexikaner,mexicano,mexicain
middle,средний,mitte,medio,milieu
might,мог бы,macht,podría,pourrait
military,военные,militär,militar,militaire
milk,молоко,milch,leche,lait
million,миллион,million,millón,million
mind,разум,verstand,mente,esprit
mine,мой,bergwerk,mía,mien
minister,министр,minister,ministro,ministre
minor,незначительный,geringer,menor,mineur
minority,меньшинство,minderheit,minoría,minorité
minute,минута,minute,minuto,minute
miracle,чудо,wunder,milagro,miracle
mirror,зеркало,spiegel,espejo,miroir
miss,мисс,fräulein,perder,manquer
missile,ракета,rakete,misil,missile
mission,миссия,mission,misión,mission
mistake,ошибка,fehler,error,erreur
mix,смешивание,mischen,mezcla,mélanger
mixture,смесь,mischung,mezcla,mélange
mm-hmm,угу,mm-hmm,mm-hmm,mm-hmm
mode,режим,modus,modo,mode
model,модель,modell,modelo,maquette
moderate,умеренный,mäßig,moderar,modérer
modern,современное,modern,moderno,moderne
modest,скромные,bescheiden,modesto,modeste
mom,мама,mama,mamá,maman
moment,момент,moment,momento,moment
money,деньги,geld,dinero,argent
monitor,монитор,monitor,monitor,moniteur
month,месяц,monat,mes,mois
mood,настроение,stimmung,estado animico,ambiance
moon,луна,mond,luna,lune
moral,моральный,moral,moral,moral
more,больше,mehr,más,plus
moreover,более того,außerdem,además,de plus
morning,утро,morgen,mañana,matin
mortgage,ипотека,hypothek,hipoteca,hypothèque
most,большинство,die meisten,más,les plus
mostly,в основном,meist,principalmente,la plupart
mother,мама,mutter,madre,mère
motion,движение,bewegung,movimiento,mouvement
motivation,мотивация,motivation,motivación,motivation
motor,мотор,motor,motor,moteur
mount,гора,montieren,montar,monter
mountain,гора,berg,montaña,montagne
mouse,мышь,maus,ratón,souris
mouth,рот,mund,boca,bouche
move,переехать,bewegung,movimiento,bouge toi
movement,движение,bewegung,movimiento,mouvement
movie,кино,film,película,film
mr,мистер,herr,señor,m
mrs,г-жа,frau,señora,madame
ms,миз,frau,sra,mme
much,много,viel,mucho,beaucoup
multiple,несколько,mehrere,múltiple,plusieurs
murder,убийство,mord,asesinato,meurtre
muscle,мышцы,muskel,músculo,muscle
museum,музей,museum,museo,musée
music,музыка,musik,música,la musique
musical,музыкальный,musical,musical,musical
musician,музыкант,musiker,músico,musicien
muslim,мусульманин,muslim,musulmán,musulman
must,должен,sollen,debe,doit
mutual,взаимный,gegenseitig,mutuo,mutuel
my,мой,meine,mi,mon
myself,себя,mich selber,mí mismo,moi même
mystery,тайна,geheimnis,misterio,mystère
myth,миф,mythos,mito,mythe
naked,голый,nackt,desnudo,nu
name,имя,name,nombre,prénom
narrative,повествование,erzählung,narrativa,récit
narrow,узкий,eng,estrecho,étroit
nation,нация,nation,nación,nation
national,национальный,national,nacional,nationale
native,родной,gebürtig,nativo,originaire de
natural,естественный,natürlich,natural,naturel
naturally,естественно,natürlich,naturalmente,naturellement
nature,природа,natur,naturaleza,la nature
near,возле,in der nähe von,cerca,près
nearby,рядом,in der nähe,cerca,proche
nearly,около,fast,casi,presque
necessarily,обязательно,notwendig,necesariamente,nécessairement
necessary,необходимо,notwendig,necesario,nécessaire
neck,шея,hals,cuello,cou
need,необходимость,brauchen,necesitar,avoir besoin
negative,негативный,negativ,negativo,négatif
negotiate,переговоры,verhandeln,negociar,négocier
negotiation,переговоры,verhandlung,negociación,négociation
neighbor,сосед,nachbar,vecino,voisin
neighborhood,окрестности,gegend,barrio,quartier
neither,ни,weder,ninguno,ni
nerve,нерв,nerv,nervio,nerf
nervous,нервная,nervös,nervioso,nerveux
net,сеть,netz,red,net
network,сеть,netzwerk,red,réseau
never,никогда,nie,nunca,jamais
nevertheless,тем не менее,trotz dessen,sin embargo,néanmoins
new,новый,neu,nuevo,nouveau
newly,недавно,neu,recién,nouvellement
news,новости,nachrichten,noticias,nouvelles
newspaper,газета,zeitung,periódico,journal
next,следующий,nächster,siguiente,prochain
nice,хороший,nett,bonito,agréable
night,ночь,nacht,noche,nuit
nine,9,neun,nueve,neuf
no,нет,nein,no,non
nobody,никто,niemand,nadie,personne
nod,кивать головой,nicken,cabecear,hochement
noise,шум,lärm,ruido,bruit
nomination,номинация,nominierung,nominación,nomination
none,никто,keiner,ninguna,aucun
nonetheless,тем не менее,dennoch,sin embargo,toutefois
nor,ни,noch,ni,ni
normal,нормальный,normal,normal,normal
normally,как обычно,normalerweise,normalmente,normalement
north,север,norden,norte,nord
northern,северный,nördlich,del norte,nord
nose,нос,nase,nariz,nez
not,не,nicht,no,ne pas
note,заметка,hinweis,nota,remarque
nothing,ничего,nichts,nada,rien
notice,уведомление,beachten,darse cuenta,remarquer
notion,понятие,begriff,noción,notion
novel,роман,roman,novela,roman
now,теперь,jetzt,ahora,à présent
nowhere,нигде,nirgends,en ninguna parte,nulle part
nuclear,ядерный,nuklear,nuclear,nucléaire
number,номер,nummer,número,nombre
numerous,многочисленные,zahlreich,numeroso,nombreux
nurse,медсестра,krankenschwester,enfermera,infirmière
nut,орех,nuss,nuez,écrou
object,объект,objekt,objeto,objet
objective,задача,objektiv,objetivo,objectif
obligation,обязательство,verpflichtung,obligación,obligation
observation,наблюдение,überwachung,observación,observation
observe,наблюдать,beobachten,observar,observer
observer,наблюдатель,beobachter,observador,observateur
obtain,получить,erhalten,obtener,obtenir
obvious,очевидно,offensichtlich,obvio,évident
obviously,очевидно,offensichtlich,obviamente,évidemment
occasion,повод,gelegenheit,ocasión,occasion
occasionally,время от времени,gelegentlich,de vez en cuando,parfois
occupation,занятие,beruf,ocupación,occupation
occupy,занимают,besetzen,ocupar,occuper
occur,происходят,auftreten,ocurrir,se produire
ocean,океан,ozean,oceano,océan
odd,странный,ungerade,impar,impair
odds,шансы,chancen,posibilidades,chances
of,из,von,de,de
off,выключено,aus,apagado,de
offense,преступление,angriff,ofensa,infraction
offensive,наступление,beleidigend,ofensiva,offensive
offer,предлагает,angebot,oferta,offre
office,офис,büro,oficina,bureau
officer,офицер,offizier,oficial,officier
official,официальный,offiziell,oficial,officiel
often,довольно часто,häufig,a menudo,souvent
oh,ой,oh,oh,oh
oil,масло,öl,petróleo,pétrole
ok,ок,ok,de acuerdo,d'accord
okay,хорошо,in ordnung,bueno,d'accord
old,старый,alt,antiguo,vieux
olympic,олимпийский,olympisch,olímpico,olympique
on,на,auf,en,sur
once,один раз,einmal,una vez,une fois que
one,один,eins,uno,un
ongoing,продолжается,laufend,en marcha,en cours
onion,лук,zwiebel,cebolla,oignon
online,онлайн,online,en línea,en ligne
only,только,nur,solamente,seulement
onto,на,auf zu,sobre,sur
open,открытый,öffnen,abierto,ouvrir
opening,открытие,öffnung,apertura,ouverture
operate,работать,arbeiten,funcionar,fonctionner
operating,операционный,betriebs,operando,en fonctionnement
operation,операция,betrieb,operación,opération
operator,оператор,operator,operador,opérateur
opinion,мнение,meinung,opinión,opinion
opponent,противник,gegner,adversario,adversaire
opportunity,возможность,gelegenheit,oportunidad,opportunité
oppose,противостоять,ablehnen,oponerse a,s'opposer
opposite,напротив,gegenteil,opuesto,contraire
opposition,оппозиция,opposition,oposición,opposition
option,вариант,option,opción,option
or,или,oder,o,ou
orange,оранжевый,orange,naranja,orange
order,заказ,auftrag,orden,commande
ordinary,обычный,gewöhnlich,ordinario,ordinaire
organic,органический,organisch,orgánico,biologique
organization,организация,organisation,organización,organisation
organize,организовать,organisieren,organizar,organiser
orientation,ориентация,orientierung,orientación,orientation
origin,происхождение,herkunft,origen,origine
original,оригинальный,original,original,original
originally,первоначально,ursprünglich,originalmente,initialement
other,другие,andere,otro,autre
others,другие,andere,otros,autres
otherwise,в противном случае,andernfalls,de otra manera,autrement
ought,должен,sollen,debería,devrait
our,наш,unser,nuestra,notre
ourselves,себя,uns selbst,nosotros mismos,nous-mêmes
out,вне,aus,fuera,en dehors
outcome,результат,ergebnis,resultado,résultat
outside,за пределами,draußen,fuera de,à l'extérieur
oven,духовой шкаф,ofen,horno,four
over,над,zu ende,encima,plus de
overall,в общем и целом,insgesamt,en general,global
overcome,преодолеть,überwinden,superar,surmonter
overlook,игнорировать,übersehen,pasar por alto,négliger
owe,обязаны,verdanken,deber,devoir
own,своя,besitzen,propio,posséder
owner,владелец,eigentümer,propietario,propriétaire
pace,темп,tempo,paso,rythme
pack,пакет,pack,paquete,pack
package,пакет,paket,paquete,paquet
page,страница,seite,página,page
pain,боль,schmerz,dolor,douleur
painful,болезненный,schmerzlich,doloroso,douloureux
paint,покрасить,farbe,pintar,peindre
painter,художник,maler,pintor,peintre
painting,картина,malerei,pintura,la peinture
pair,пара,paar,par,paire
pale,бледный,blass,pálido,pâle
palestinian,палестинец,palästinensisch,palestino,palestinien
palm,пальма,palme,palma,paume
pan,кастрюля,pfanne,pan,casserole
panel,панель,tafel,panel,panneau
pant,тяжелое дыхание,keuchen,pantalón,haleter
paper,бумага,papier,papel,papier
parent,родитель,elternteil,padre,parent
park,парк,park,parque,parc
parking,стоянка,parken,estacionamiento,parking
part,часть,teil,parte,partie
participant,участник,teilnehmer,partícipe,participant
participate,принимать участие,sich beteiligen,participar,participer
participation,участие,beteiligung,participación,participation
particular,конкретный,besonders,especial,particulier
particularly,особенно,insbesondere,particularmente,particulièrement
partly,частично,teilweise,parcialmente,partiellement
partner,партнер,partner,compañero,partenaire
partnership,партнерство,partnerschaft,asociación,partenariat
party,вечеринка,party,fiesta,fête
pass,проходить,bestehen,pasar,passer
passage,проход,passage,paso,passage
passenger,пассажир,passagier,pasajero,passager
passion,страсть,leidenschaft,pasión,la passion
past,мимо,vergangenheit,pasado,passé
patch,заплаты,flecken,parche,pièce
path,дорожка,pfad,camino,chemin
patient,пациент,geduldig,paciente,patient
pattern,шаблон,muster,patrón,modèle
pause,пауза,pause,pausa,pause
pay,платить,zahlen,paga,payer
payment,оплата,zahlung,pago,paiement
pc,пк,pc,ordenador personal,pc
peace,мир,frieden,paz,paix
peak,вершина горы,haupt,pico,de pointe
peer,равный,peer,mirar,pair
penalty,наказание,elfmeter,pena,peine
people,люди,menschen,gente,gens
pepper,перец,pfeffer,pimienta,poivre
per,за,pro,por,par
perceive,воспринимать,wahrnehmen,percibir,apercevoir
percentage,процент,prozentsatz,porcentaje,pourcentage
perception,восприятие,wahrnehmung,percepción,la perception
perfect,идеально,perfekt,perfecto,parfait
perfectly,в совершенстве,perfekt,perfectamente,à la perfection
perform,выполнить,ausführen,realizar,effectuer
performance,представление,performance,actuación,performance
perhaps,возможно,vielleicht,quizás,peut-être
period,период,periode,período,période
permanent,постоянный,dauerhaft,permanente,permanent
permission,разрешение,genehmigung,permiso,autorisation
permit,разрешать,erlauben,permiso,permis
person,человек,person,persona,la personne
personal,личный,persönlich,personal,personnel
personality,личность,persönlichkeit,personalidad,personnalité
personally,лично,persönlich,personalmente,personnellement
personnel,персонал,personal,personal,personnel
perspective,перспектива,perspektive,perspectiva,la perspective
persuade,уговаривать,überzeugen,persuadir,persuader
pet,домашнее животное,haustier,mascota,animal de compagnie
phase,фаза,phase,fase,phase
phenomenon,явление,phänomen,fenómeno,phénomène
philosophy,философия,philosophie,filosofía,philosophie
phone,телефон,telefon,teléfono,téléphone
photo,фото,foto,foto,photo
photograph,фотография,foto,fotografía,photographier
photographer,фотограф,fotograf,fotógrafo,photographe
phrase,фраза,phrase,frase,phrase
physical,физический,physisch,físico,physique
physically,физически,physisch,físicamente,physiquement
physician,врач,arzt,médico,médecin
piano,фортепиано,klavier,piano,piano
pick,выбирать,pick,recoger,choisir
picture,картина,bild,imagen,photo
pie,пирог,kuchen,tarta,tarte
piece,кусок,stück,pieza,pièce
pile,куча,haufen,pila,pile
pilot,пилот,pilot,piloto,pilote
pine,сосна,kiefer,pino,pin
pink,розовый,rosa,rosado,rose
pipe,труба,rohr,tubo,tuyau
pitch,подача,tonhöhe,tono,pas
place,место,ort,lugar,endroit
plan,план,planen,plan,plan
plane,самолет,ebene,avión,avion
planet,планета,planet,planeta,planète
planning,планирование,planung,planificación,planification
plant,растение,pflanze,planta,plante
plastic,пластик,kunststoff,el plastico,plastique
plate,пластина,teller,plato,assiette
platform,платформа,plattform,plataforma,plate-forme
play,играть,spielen,jugar,jouer
player,игрок,spieler,jugador,joueur
please,пожалуйста,bitte,por favor,s'il vous plaît
pleasure,удовольствие,vergnügen,placer,plaisir
plenty,много,viel,mucho,beaucoup
plot,сюжет,grundstück,trama,terrain
plus,плюс,plus,más,plus
pm,вечера,pm,pm,pm
pocket,карман,tasche,bolsillo,poche
poem,стих,gedicht,poema,poème
poet,поэт,dichter,poeta,poète
poetry,поэзия,poesie,poesía,poésie
point,точка,punkt,punto,point
pole,столб,pole,polo,pôle
police,полиция,polizei,policía,police
policy,политика,politik,política,politique
political,политические,politisch,político,politique
politically,политически,politisch,políticamente,politiquement
politician,политик,politiker,político,politicien
politics,политика,politik,política,politique
poll,голосование,umfrage,encuesta,sondage
pollution,загрязнение,verschmutzung,contaminación,la pollution
pool,бассейн,schwimmbad,piscina,piscine
poor,бедные,arm,pobre,pauvre
pop,поп,pop,popular,pop
popular,популярный,beliebt,popular,populaire
population,население,bevölkerung,población,population
porch,крыльцо,veranda,porche,porche
port,порт,hafen,puerto,port
portion,часть,portion,parte,portion
portrait,портрет,porträt,retrato,portrait
portray,изображать,porträtieren,retratar,représenter
pose,поза,pose,pose,pose
position,должность,position,posición,position
positive,позитивный,positiv,positivo,positif
possess,обладают,besitzen,poseer,posséder
possibility,возможность,möglichkeit,posibilidad,possibilité
possible,возможное,möglich,posible,possible
possibly,возможно,möglicherweise,posiblemente,peut-être
post,после,post,enviar,poster
pot,горшок,pot,maceta,pot
potato,картошка,kartoffel,patata,pomme de terre
potential,потенциал,potenzial,potencial,potentiel
potentially,потенциально,möglicherweise,potencialmente,potentiellement
pound,фунт,pfund,libra,livre
pour,влить,gießen,verter,verser
poverty,бедность,armut,pobreza,la pauvreté
powder,порошок,pulver,polvo,poudre
power,мощность,leistung,poder,puissance
powerful,мощный,mächtig,poderoso,puissant
practical,практический,praktisch,práctico,pratique
practice,практика,trainieren,práctica,entraine toi
pray,молиться,beten,orar,prier
prayer,молитва,gebet,oración,prière
precisely,точно,genau,precisamente,précisément
predict,предсказать,vorhersagen,predecir,prédire
prefer,предпочитают,bevorzugen,preferir,préférer
preference,предпочтение,präferenz,preferencia,préférence
pregnancy,беременность,schwangerschaft,el embarazo,grossesse
pregnant,беременный,schwanger,embarazada,enceinte
preparation,подготовка,vorbereitung,preparación,préparation
prepare,подготовить,bereiten,preparar,préparer
prescription,рецепт,rezept,prescripción,ordonnance
presence,присутствие,gegenwart,presencia,présence
present,настоящее время,geschenk,presente,présent
presentation,презентация,präsentation,presentación,présentation
preserve,сохранить,erhalten,preservar,préserver
president,президент,präsident,presidente,président
presidential,президентские,präsidentschaftswahl,presidencial,présidentiel
press,нажмите,drücken sie,prensa,presse
pressure,давление,druck,presión,pression
pretend,делать вид,so tun als ob,fingir,faire semblant
pretty,симпатичная,ziemlich,bonita,joli
prevent,не допустить,verhindern,evitar,prévenir
previous,предыдущий,bisherige,anterior,précédent
previously,ранее,vorher,previamente,précédemment
price,цена,preis,precio,prix
pride,гордость,stolz,orgullo,fierté
priest,священник,priester,sacerdote,prêtre
primarily,в первую очередь,in erster linie,ante todo,principalement
primary,первичный,primär,primario,primaire
prime,премьер,prime,principal,premier
principal,принципал,schulleiter,director de escuela,principal
principle,принцип,prinzip,principio,principe
print,распечатать,drucken,impresión,impression
prior,до,vorher,anterior,avant
priority,приоритет,priorität,prioridad,priorité
prison,тюрьма,gefängnis,prisión,prison
prisoner,заключенный,häftling,prisionero,prisonnier
privacy,конфиденциальность,privatsphäre,intimidad,intimité
private,частный,privatgelände,privado,privé
probably,вероятно,wahrscheinlich,probablemente,probablement
problem,проблема,problem,problema,problème
procedure,процедура,verfahren,procedimiento,procédure
proceed,продолжить,vorgehen,proceder,procéder
process,обработать,verarbeiten,proceso,processus
produce,производить,produzieren,produce,produire
producer,режиссер,hersteller,productor,producteur
product,продукт,produkt,producto,produit
production,производство,produktion,producción,production
profession,профессия,beruf,profesión,métier
professional,профессионал,professional,profesional,professionnel
professor,профессор,professor,profesor,professeur
profile,профиль,profil,perfil,profil
profit,прибыль,profitieren,lucro,profit
program,программа,programm,programa,programme
progress,прогресс,fortschritt,progreso,le progrès
project,проект,projekt,proyecto,projet
prominent,видный,prominent,prominente,important
promise,обещание,versprechen,promesa,promettre
promote,содействовать,fördern,promover,promouvoir
prompt,незамедлительный,prompt,rápido,rapide
proof,доказательство,beweis,prueba,preuve
proper,правильный,richtig,apropiado,correct
properly,должным образом,richtig,correctamente,correctement
property,имущество,eigentum,propiedad,propriété
proportion,доля,anteil,proporción,proportion
proposal,предложение,vorschlag,propuesta,proposition
propose,предложить,vorschlagen,proponer,proposer
proposed,предложенный,vorgeschlagen,propuesto,proposé
prosecutor,прокурор,staatsanwalt,fiscal,procureur
prospect,перспектива,aussicht,perspectiva,perspective
protect,защита,schützen,proteger,protéger
protection,защита,schutz,proteccion,protection
protein,белок,eiweiß,proteína,protéine
protest,акция протеста,protest,protesta,protestation
proud,гордый,stolz,orgulloso,fier
prove,доказать,beweisen,probar,prouver
provide,предоставлять,zu verfügung stellen,proporcionar,fournir
provider,поставщик,anbieter,proveedor,fournisseur
province,провинция,provinz,provincia,province
provision,обеспечение,bereitstellung,provisión,disposition
psychological,психологические,psychologisch,psicológico,psychologique
psychologist,психолог,psychologe,psicólogo,psychologue
psychology,психология,psychologie,psicología,psychologie
public,общественность,öffentlichkeit,público,public
publication,публикация,veröffentlichung,publicación,publication
publicly,публично,öffentlich,en público,publiquement
publish,публиковать,veröffentlichen,publicar,publier
publisher,издатель,herausgeber,editor,éditeur
pull,вытащить,ziehen,halar,tirer
